@relation 'R-weka.filters.unsupervised.attribute.Obfuscate-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Llast-weka.filters.unsupervised.attribute.Remove-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1 -num-slots 1'

@attribute A1 {V1,V2}
@attribute A47 numeric
@attribute A50 {V1,V2}

@data
V1,-53,V2
V1,-507,V2
V1,-576,V2
V1,-587,V2
V1,8,V2
V1,-432,V2
V1,-501,V2
V1,-512,V2
V1,478,V2
V1,24,V2
V1,-29,V2
V1,-40,V2
V1,30,V1
V1,31,V1
V1,32,V1
V1,532,V2
V1,434,V2
V1,413,V2
V1,397,V2
V1,369,V2
V1,313,V2
V1,157,V2
V1,125,V2
V1,571,V2
V1,473,V2
V1,452,V2
V1,436,V2
V1,408,V2
V1,352,V2
V1,196,V2
V1,164,V2
V1,616,V2
V1,518,V2
V1,497,V2
V1,481,V2
V1,453,V2
V1,397,V2
V1,241,V2
V1,209,V2
V1,-496,V2
V1,-446,V2
V1,-408,V2
V1,1114,V2
V1,1016,V2
V1,995,V2
V1,979,V2
V1,951,V2
V1,895,V2
V1,739,V2
V1,707,V2
V1,57,V2
V1,-656,V2
V1,-606,V2
V1,-568,V2
V1,-72,V2
V1,1236,V2
V1,1138,V2
V1,1117,V2
V1,1101,V2
V1,1073,V2
V1,1017,V2
V1,861,V2
V1,829,V2
V1,179,V2
V1,-798,V2
V1,-748,V2
V1,-710,V2
V1,-214,V2
V1,-92,V2
V1,-1654,V2
V1,-1604,V2
V1,-1566,V2
V1,-1070,V2
V1,-948,V2
V1,-2457,V2
V1,-2407,V2
V1,-2369,V2
V1,-1873,V2
V1,-1751,V2
V1,3063,V2
V1,2965,V2
V1,2944,V2
V1,2928,V2
V1,2900,V2
V1,2844,V2
V1,2688,V2
V1,2656,V2
V1,2006,V2
V1,1857,V2
V1,1715,V2
V1,855,V2
V1,45,V2
V1,-2566,V2
V1,-2516,V2
V1,-2478,V2
V1,-1982,V2
V1,-1860,V2
V1,-33,V2
V1,3147,V2
V1,3049,V2
V1,3028,V2
V1,3012,V2
V1,2984,V2
V1,2928,V2
V1,2772,V2
V1,2740,V2
V1,2090,V2
V1,1941,V2
V1,1799,V2
V1,939,V2
V1,129,V2
V1,3429,V2
V1,3331,V2
V1,3310,V2
V1,3294,V2
V1,3266,V2
V1,3210,V2
V1,3054,V2
V1,3022,V2
V1,2372,V2
V1,2223,V2
V1,2081,V2
V1,1221,V2
V1,411,V2
V1,313,V2
V1,-2903,V2
V1,-2853,V2
V1,-2815,V2
V1,-2319,V2
V1,-2197,V2
V1,-370,V2
V1,-285,V2
V1,-3,V2
V1,3489,V2
V1,3391,V2
V1,3370,V2
V1,3354,V2
V1,3326,V2
V1,3270,V2
V1,3114,V2
V1,3082,V2
V1,2432,V2
V1,2283,V2
V1,2141,V2
V1,1281,V2
V1,471,V2
V1,373,V2
V1,30,V2
V1,-2970,V2
V1,-2920,V2
V1,-2882,V2
V1,-2386,V2
V1,-2264,V2
V1,-437,V2
V1,-352,V2
V1,-70,V2
V1,-11,V2
V1,3549,V2
V1,3451,V2
V1,3430,V2
V1,3414,V2
V1,3386,V2
V1,3330,V2
V1,3174,V2
V1,3142,V2
V1,2492,V2
V1,2343,V2
V1,2201,V2
V1,1341,V2
V1,531,V2
V1,433,V2
V1,90,V2
V1,37,V2
V2,475,V2
V2,514,V2
V2,559,V2
V2,1057,V2
V2,1179,V2
V2,3006,V2
V2,3090,V2
V2,3372,V2
V2,3432,V2
V2,3492,V2
V1,460,V2
V1,499,V2
V1,544,V2
V1,1042,V2
V1,1164,V2
V1,2991,V2
V1,3075,V2
V1,3357,V2
V1,3417,V2
V1,3477,V2
V1,68,V2
V1,107,V2
V1,152,V2
V1,650,V2
V1,772,V2
V1,2599,V2
V1,2683,V2
V1,2965,V2
V1,3025,V2
V1,3085,V2
V1,547,V2
V1,449,V2
V1,428,V2
V1,412,V2
V1,384,V2
V1,328,V2
V1,172,V2
V1,140,V2
V1,-478,V2
V1,-638,V2
V1,-780,V2
V1,-1636,V2
V1,-2439,V2
V1,-2548,V2
V1,-2885,V2
V1,-2952,V2
V2,490,V2
V1,475,V2
V1,83,V2
V1,627,V2
V1,529,V2
V1,508,V2
V1,492,V2
V1,464,V2
V1,408,V2
V1,252,V2
V1,220,V2
V1,-398,V2
V1,-558,V2
V1,-700,V2
V1,-1556,V2
V1,-2359,V2
V1,-2468,V2
V1,-2805,V2
V1,-2872,V2
V2,570,V2
V1,555,V2
V1,163,V2
V1,637,V2
V1,539,V2
V1,518,V2
V1,502,V2
V1,474,V2
V1,418,V2
V1,262,V2
V1,230,V2
V1,-387,V2
V1,-547,V2
V1,-689,V2
V1,-1545,V2
V1,-2348,V2
V1,-2457,V2
V1,-2794,V2
V1,-2861,V2
