@relation 'R-weka.filters.unsupervised.attribute.Obfuscate-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Llast-weka.filters.unsupervised.attribute.Remove-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1 -num-slots 1'

@attribute A1 {V1,V2}
@attribute A47 numeric
@attribute A50 {V1,V2}

@data
V1,12,V1
V1,-15,V1
V2,16,V1
V1,2548,V2
V1,2966,V2
V1,64,V1
V2,454,V2
V1,1243,V2
V1,41,V1
V1,-14,V1
V1,340,V2
V1,2554,V2
V1,5,V1
V1,3003,V2
V1,-1973,V1
V1,4,V1
V1,57,V1
V1,-1157,V2
V1,15,V1
V1,-758,V1
V1,12,V1
V1,112,V1
V1,1721,V2
V1,-1602,V2
V1,-34,V1
V1,115,V1
V1,-69,V1
V1,1314,V2
V1,1906,V2
V1,115,V1
V1,11,V1
V1,317,V2
V1,28,V1
V1,3494,V2
V1,4376,V2
V2,14,V1
V1,-3147,V2
V1,-207,V2
V1,-6224,V2
V1,3961,V2
V1,-252,V2
V1,1642,V2
V1,220,V2
V1,-2315,V2
V1,-4578,V2
V2,4,V1
V1,45,V1
V1,110,V2
V1,1192,V2
V1,46,V1
V1,871,V1
V1,-232,V2
V1,4268,V2
V1,-76,V2
V1,12,V1
V1,14,V1
V1,-271,V2
V1,39,V1
V1,1254,V2
V1,-497,V2
V1,-389,V2
V1,-366,V2
V1,268,V2
V2,16,V1
V2,189,V2
V1,2427,V2
V1,45,V1
V1,-74,V1
V2,25,V1
V1,-890,V2
V1,318,V2
V1,-553,V2
V1,-1225,V2
V1,-2350,V2
V1,-4918,V2
V1,4944,V2
V1,5,V1
V1,1342,V2
V2,16,V1
V1,-14,V1
V1,-5176,V2
V1,78,V1
V1,115,V1
V1,78,V1
V1,419,V1
V1,373,V1
V1,-935,V2
V1,1968,V2
V1,-507,V2
V1,4936,V2
V1,57,V1
V1,11,V1
V1,2005,V2
V1,11,V1
V1,-770,V2
V1,28,V1
V1,-1973,V1
V1,629,V2
V1,5,V1
V1,-3828,V2
V1,-5363,V1
V1,3,V1
V2,547,V2
V1,-74,V1
V1,-7417,V2
V1,979,V2
V1,13,V1
V1,5,V1
V1,-926,V2
V1,14,V1
V1,-2089,V2
V1,-427,V2
V1,-69,V1
V1,648,V2
V1,46,V1
V1,233,V2
V1,-5363,V1
V1,12,V1
V1,3,V1
V1,-518,V1
V1,58,V1
V1,4784,V2
V1,1403,V2
V1,-1859,V2
V1,5,V1
V1,12,V1
V1,5900,V2
V1,25,V1
V2,4,V1
V1,47,V1
V1,42,V2
V1,46,V1
V1,5,V1
V1,55,V1
V1,-1701,V2
V1,112,V1
V1,536,V2
V1,2917,V2
V1,292,V2
V1,-536,V2
V1,12,V1
V1,4488,V2
V1,4332,V2
V1,367,V2
V1,23,V1
V1,14,V1
V1,-636,V2
V1,-1541,V2
V1,99,V2
V2,3,V1
V1,-15,V1
V1,3816,V2
V1,-973,V2
V1,-104,V1
V1,1193,V1
V1,-34,V1
V1,1193,V1
V1,649,V2
V1,-5,V1
V1,-1110,V2
V1,-74,V1
V1,5754,V2
V1,1150,V2
V1,-104,V1
V1,78,V1
V1,1193,V1
V1,2946,V2
V1,57,V1
V1,29,V1
V1,-34,V1
V1,13,V1
V1,1108,V2
V1,-2732,V2
V1,4793,V2
V1,-1661,V2
V2,14,V1
V1,-2204,V2
V1,4174,V2
V1,1533,V2
V1,56,V1
V1,1163,V2
V1,3687,V2
V1,22,V1
V1,-25,V1
V1,12,V1
V1,3846,V2
V1,424,V2
V1,6361,V2
V1,-1387,V2
V1,-758,V1
V1,-1009,V2
V2,2151,V2
V1,-1480,V2
V1,-1856,V2
V1,300,V2
V1,789,V2
V1,3,V1
V1,45,V1
